rule_id,category,red_flag,typology,source,feasibility
IND-RE-61,Industry Specific: Real Estate,Incoming funds from China/HK used for structured draft purchases to developers referencing specific units/addresses.,Underground Banking,[38],Low
IND-RE-62,Industry Specific: Real Estate,Use of 'straw buyers' or nominees to purchase property.,CMLN,"[39], [40]",Low
IND-RE-63,Industry Specific: Real Estate,US escrow company receives funds from unaffiliated foreign shell company to purchase real estate.,CMLN,[41],Low
IND-AUTO-71,Industry Specific: Automotive,Funds from China/HK used to buy cars at high-end dealerships inconsistent with student/homemaker profile.,Underground Banking,[34],Low
IND-AUTO-72,Industry Specific: Automotive,Circular flow of funds between used car dealerships and import/export entities.,Underground Banking,"[34], [3]",Medium
IND-TRADE-81,Industry Specific: Trade/Import,Business accounts receiving wires for export of goods but never purchasing inventory (TBML).,CMLN / TBML,[42],Medium
IND-TRADE-82,Industry Specific: Trade/Import,"Electronics/Luxury goods businesses receiving wires from unrelated jurisdictions (e.g., Mexico, UAE) with no business nexus.",CMLN / TBML,[42],Medium
IND-TRADE-83,Industry Specific: Trade/Import,Hong Kong registered trading companies with shell-like characteristics sending funds with no economic purpose.,CMLN,[43],Low
IND-LEGAL-91,Industry Specific: Legal,Funds sent to legal professionals (trust accounts) with no clear relationship or stated purpose.,Underground Banking,[44],Medium
TX-NPM-101,New Payment Methods,Use of virtual currency (VC) to purchase precursor chemicals or pay chemical brokers.,Opioids,"[45], [20]",Low
TX-NPM-102,New Payment Methods,Transfers to VC exchanges sourced from multiple incoming EMTs.,Human Trafficking,[46],Low
TX-NPM-103,New Payment Methods,Interaction with VC addresses linked to darknet markets or mixing services.,Opioids / General,[47],Low
BEH-LIFE-111,Lifestyle & Behavior,"Payments for escort ads, website hosting, or online marketing for sexual services.",Human Trafficking,[48],Medium
BEH-LIFE-112,Lifestyle & Behavior,Purchases at online gambling sites using funds from multiple third-party EMTs.,Opioids / General,"[49], [46]",High
BEH-LIFE-113,Lifestyle & Behavior,"Payments for luxury goods (jewelry, designer clothing) inconsistent with income.",Human Trafficking / CMLN,"[50], [43]",Medium
BEH-LIFE-114,Lifestyle & Behavior,"Payments for industrial lab equipment (pill presses, pumps) without business need.",Opioids,[20],Low
BEH-LIFE-115,Lifestyle & Behavior,Purchases of mailing/shipping materials not commensurate with business activity (micro-trafficking).,Opioids,[15],Medium
TP-USE-121,Use of Third Parties,Client appears to be acting on behalf of another party (Nominee/Gatekeeper).,General ML,[51],Medium
TP-USE-122,Use of Third Parties,Use of 'daigou' (shopping on behalf of others) to move funds or purchase luxury goods.,CMLN,"[39], [52]",Medium
